,region
1346,Northeast
1347,Northeast
1348,Northeast
1349,Northeast
1350,Northeast
1351,Northeast
1352,Northeast
1353,Northeast
1354,Northeast
1355,Northeast
1356,Northeast
1357,Northeast
1358,Northeast
1359,Northeast
1360,Northeast
1361,Northeast
1362,Northeast
1363,Northeast
1364,Northeast
1365,Northeast
1366,Northeast
1367,Northeast
1368,Northeast
1369,Northeast
1370,Northeast
1371,Northeast
1372,Northeast
1373,Northeast
1374,Northeast
1375,Northeast
1376,Northeast
1377,Northeast
1378,Northeast
1379,Northeast
1380,Northeast
1381,Northeast
1382,Northeast
1383,Northeast
1384,Northeast
1385,Northeast
1386,Northeast
1387,Northeast
1388,Northeast
1389,Northeast
1390,Northeast
1391,Northeast
1392,Northeast
1393,Northeast
1394,Northeast
1395,Northeast
1396,Northeast
1397,Northeast
1398,Northeast
1399,Northeast
1400,Northeast
1401,Northeast
1402,Northeast
1403,Northeast
1404,Northeast
1405,Northeast
1406,Northeast
1407,Northeast
1408,Northeast
1409,Northeast
1410,Northeast
1411,Northeast
1412,Northeast
1413,Northeast
1414,Northeast
1415,Northeast
1416,Northeast
1417,Northeast
1418,Northeast
1419,Northeast
1420,Northeast
1421,Northeast
1422,Northeast
1423,Northeast
1424,Northeast
1425,Northeast
1426,Northeast
1427,Northeast
1428,Northeast
1429,Northeast
1430,Northeast
1431,Northeast
1432,Northeast
1433,Northeast
1434,Northeast
1435,Northeast
1436,Northeast
1437,Northeast
1438,Northeast
1439,Northeast
1440,Northeast
1441,Northeast
1442,Northeast
1443,Northeast
1444,Northeast
1445,Northeast
1446,Northeast
1447,Northeast
1448,Northeast
1449,Northeast
1450,Northeast
1451,Northeast
1452,Northeast
1453,Northeast
1454,Northeast
1455,Northeast
1456,Northeast
1457,Northeast
1458,Northeast
1459,Northeast
1460,Northeast
1461,Northeast
1462,Northeast
1463,Northeast
1464,Northeast
1465,Northeast
1466,Northeast
1467,Northeast
1468,Northeast
1469,Northeast
1470,Northeast
1471,Northeast
1472,Northeast
1473,Northeast
1474,Northeast
1475,Northeast
1476,Northeast
1477,Northeast
1478,Northeast
1479,Northeast
1480,Northeast
1481,Northeast
1482,Northeast
1483,Northeast
1484,Northeast
1485,Northeast
1486,Northeast
1487,Northeast
1488,Northeast
1489,Northeast
1490,Northeast
1491,Northeast
1492,Northeast
1493,Northeast
1494,Northeast
1495,Northeast
1496,Northeast
1497,Northeast
1498,Northeast
1499,Northeast
1500,Northeast
1501,Northeast
1502,Northeast
1503,Northeast
1504,Northeast
1505,Northeast
1506,Northeast
1507,Northeast
1508,Northeast
1509,Northeast
1510,Northeast
1511,Northeast
1512,Northeast
1513,Northeast
1514,Northeast
1515,Northeast
1516,Northeast
1517,Northeast
1518,Northeast
1519,Northeast
1520,Northeast
1521,Northeast
1522,Northeast
1523,Northeast
1524,Northeast
1525,Northeast
1526,Northeast
1527,Northeast
1528,Northeast
1529,Northeast
1530,Northeast
1531,Northeast
1532,Northeast
1533,Northeast
1534,Northeast
1535,Northeast
1536,Northeast
1537,Northeast
1538,Northeast
1539,Northeast
1540,Northeast
1541,Northeast
1542,Northeast
1543,Northeast
1544,Northeast
1545,Northeast
1546,Northeast
1547,Northeast
1548,Northeast
1549,Northeast
1550,Northeast
1551,Northeast
1552,Northeast
1553,Northeast
1554,Northeast
1555,Northeast
1556,Northeast
1557,Northeast
1558,Northeast
1559,Northeast
1560,Northeast
1561,Northeast
1562,Northeast
1563,Northeast
1564,Northeast
1565,Northeast
1566,Northeast
1567,Northeast
1568,Northeast
1569,Northeast
1570,Northeast
1571,Northeast
1572,Northeast
1573,Northeast
1574,Northeast
1575,Northeast
1576,Northeast
1577,Northeast
1578,Northeast
1579,Northeast
1580,Northeast
1581,Northeast
1582,Northeast
1583,Northeast
1584,Northeast
1585,Northeast
1586,Northeast
1587,Northeast
1588,Northeast
1589,Northeast
1590,Northeast
1591,Northeast
1592,Northeast
1593,Northeast
1594,Northeast
1595,Northeast
1596,Northeast
1597,Northeast
1598,Northeast
1599,Northeast
1600,Northeast
1601,Northeast
1602,Northeast
1603,Northeast
1604,Northeast
1605,Northeast
1606,Northeast
1607,Northeast
1608,Northeast
1609,Northeast
1610,Northeast
1611,Northeast
1612,Northeast
1613,Northeast
1614,Northeast
1615,Northeast
1616,Northeast
1617,Northeast
1618,Northeast
1619,Northeast
1620,Northeast
1621,Northeast
1622,Northeast
1623,Northeast
1624,Northeast
1625,Northeast
1626,Northeast
1627,Northeast
1628,Northeast
1629,Northeast
1630,Northeast
1631,Northeast
1632,Northeast
1633,Northeast
1634,Northeast
1635,Northeast
1636,Northeast
1637,Northeast
1638,Northeast
1639,Northeast
1640,Northeast
1641,Northeast
1642,Northeast
1643,Northeast
1644,Northeast
1645,Northeast
1646,Northeast
1647,Northeast
1648,Northeast
1649,Northeast
1650,Northeast
1651,Northeast
1652,Northeast
1653,Northeast
1654,Northeast
1655,Northeast
1656,Northeast
1657,Northeast
1658,Northeast
1659,Northeast
1660,Northeast
1661,Northeast
1662,Northeast
1663,Northeast
1664,Northeast
1665,Northeast
1666,Northeast
1667,Northeast
1668,Northeast
1669,Northeast
1670,Northeast
1671,Northeast
1672,Northeast
1673,Northeast
1674,Northeast
1675,Northeast
1676,Northeast
1677,Northeast
1678,Northeast
1679,Northeast
1680,Northeast
1681,Northeast
1682,Northeast
1683,Northeast
1684,Northeast
1685,Northeast
1686,Northeast
1687,Northeast
1688,Northeast
1689,Northeast
1690,Northeast
1691,Northeast
1692,Northeast
1693,Northeast
1694,Northeast
1695,Northeast
1696,Northeast
1697,Northeast
1698,Northeast
1699,Northeast
1700,Northeast
1701,Northeast
1702,Northeast
1703,Northeast
1704,Northeast
1705,Northeast
1706,Northeast
1707,Northeast
1708,Northeast
1709,Northeast
1710,Northeast
1711,Northeast
1712,Northeast
1713,Northeast
1714,Northeast
1715,Northeast
1716,Northeast
1717,Northeast
1718,Northeast
1719,Northeast
1720,Northeast
1721,Northeast
1722,Northeast
1723,Northeast
1724,Northeast
1725,Northeast
1726,Northeast
1727,Northeast
1728,Northeast
1729,Northeast
1730,Northeast
1731,Northeast
1732,Northeast
1733,Northeast
1734,Northeast
1735,Northeast
1736,Northeast
1737,Northeast
1738,Northeast
1739,Northeast
1740,Northeast
1741,Northeast
1742,Northeast
1743,Northeast
1744,Northeast
1745,Northeast
1746,Northeast
1747,Northeast
1748,Northeast
1749,Northeast
1750,Northeast
1751,Northeast
1752,Northeast
1753,Northeast
1754,Northeast
1755,Northeast
1756,Northeast
1757,Northeast
1758,Northeast
1759,Northeast
1760,Northeast
1761,Northeast
1762,Northeast
1763,Northeast
1764,Northeast
1765,Northeast
1766,Northeast
1767,Northeast
1768,Northeast
1769,Northeast
1770,Northeast
1771,Northeast
1772,Northeast
1773,Northeast
1774,Northeast
1775,Northeast
1776,Northeast
1777,Northeast
1778,Northeast
1779,Northeast
1780,Northeast
1781,Northeast
1782,Northeast
1783,Northeast
1784,Northeast
1785,Northeast
1786,Northeast
1787,Northeast
1788,Northeast
1789,Northeast
1790,Northeast
1791,Northeast
1792,Northeast
1793,Northeast
1794,Northeast
1795,Northeast
1796,Northeast
1797,Northeast
1798,Northeast
1799,Northeast
1800,Northeast
1801,Northeast
1802,Northeast
1803,Northeast
1804,Northeast
1805,Northeast
1806,Northeast
1807,Northeast
1808,Northeast
1809,Northeast
1810,Northeast
1811,Northeast
1812,Northeast
1813,Northeast
1814,Northeast
1815,Northeast
1816,Northeast
1817,Northeast
1818,Northeast
1819,Northeast
1820,Northeast
1821,Northeast
1822,Northeast
1823,Northeast
1824,Northeast
1825,Northeast
1826,Northeast
1827,Northeast
1828,Northeast
1829,Northeast
1830,Northeast
1831,Northeast
1832,Northeast
1833,Northeast
1834,Northeast
1835,Northeast
1836,Northeast
1837,Northeast
1838,Northeast
1839,Northeast
1840,Northeast
1841,Northeast
1842,Northeast
1843,Northeast
1844,Northeast
1845,Northeast
1846,Northeast
1847,Northeast
1848,Northeast
1849,Northeast
1850,Northeast
1851,Northeast
1852,Northeast
1853,Northeast
1854,Northeast
1855,Northeast
1856,Northeast
1857,Northeast
1858,Northeast
1859,Northeast
1860,Northeast
1861,Northeast
1862,Northeast
1863,Northeast
1864,Northeast
1865,Northeast
1866,Northeast
1867,Northeast
1868,Northeast
1869,Northeast
1870,Northeast
1871,Northeast
1872,Northeast
1873,Northeast
1874,Northeast
