,property_type
751,apartment
752,apartment
753,apartment
754,apartment
755,apartment
756,apartment
757,apartment
758,apartment
759,apartment
760,apartment
761,apartment
762,apartment
763,apartment
764,apartment
765,apartment
766,apartment
767,apartment
768,apartment
769,apartment
770,apartment
771,house
772,apartment
773,apartment
774,apartment
775,apartment
776,house
777,house
778,house
779,apartment
780,house
781,house
782,house
783,house
784,apartment
785,house
786,house
787,house
788,house
789,house
790,house
791,house
792,house
793,house
794,house
795,house
796,house
797,house
798,house
799,house
800,house
801,house
802,house
803,apartment
804,apartment
805,apartment
806,apartment
807,apartment
808,apartment
809,house
810,house
811,house
812,house
813,house
814,apartment
815,apartment
816,apartment
817,apartment
818,apartment
819,apartment
820,apartment
821,apartment
822,house
823,house
824,house
825,house
826,house
827,house
828,house
829,house
830,house
831,house
832,house
833,house
834,house
835,apartment
836,apartment
837,apartment
838,apartment
839,house
840,apartment
841,apartment
842,apartment
843,apartment
844,apartment
845,apartment
846,house
847,apartment
848,apartment
849,apartment
850,apartment
851,apartment
852,apartment
853,house
854,apartment
855,apartment
856,apartment
857,apartment
858,house
859,house
860,house
861,apartment
862,apartment
863,apartment
864,house
865,apartment
866,apartment
867,apartment
868,apartment
869,apartment
870,apartment
871,apartment
872,apartment
873,apartment
874,apartment
875,apartment
876,house
877,apartment
878,apartment
879,house
880,house
881,apartment
882,apartment
883,apartment
884,apartment
885,apartment
886,apartment
887,apartment
888,apartment
889,apartment
890,apartment
891,apartment
892,apartment
893,apartment
894,apartment
895,apartment
896,apartment
897,apartment
898,apartment
899,apartment
900,apartment
901,apartment
902,apartment
903,apartment
904,apartment
905,apartment
906,apartment
907,apartment
908,house
909,house
910,apartment
911,apartment
912,apartment
913,house
914,apartment
915,apartment
916,apartment
917,apartment
918,apartment
919,apartment
920,apartment
921,house
922,apartment
923,apartment
924,apartment
925,apartment
926,apartment
927,apartment
928,apartment
929,apartment
930,apartment
931,apartment
932,apartment
933,apartment
934,apartment
935,apartment
936,house
937,apartment
938,apartment
939,apartment
940,apartment
941,apartment
942,apartment
943,apartment
944,apartment
945,apartment
946,apartment
947,apartment
948,apartment
949,apartment
950,apartment
951,apartment
952,apartment
953,apartment
954,apartment
955,apartment
956,apartment
957,apartment
958,apartment
959,apartment
960,house
961,apartment
962,apartment
963,apartment
964,apartment
965,house
966,apartment
967,apartment
