,place_with_parent_names
185,|Brasil|Bahia|Salvador|Ondina|
186,|Brasil|Bahia|Salvador|Vitória|
187,|Brasil|Bahia|Salvador|Pituaçu|
188,|Brasil|Bahia|Salvador|Boca do Rio|
189,|Brasil|Bahia|Salvador|Patamares|
190,|Brasil|Bahia|Salvador|Patamares|
191,|Brasil|Bahia|Salvador|Patamares|
192,|Brasil|Bahia|Salvador|Patamares|
193,|Brasil|Bahia|Salvador|Stiep|
194,|Brasil|Bahia|Salvador|Armação|
195,|Brasil|Bahia|Salvador|Armação|
196,|Brasil|Bahia|Salvador|Armação|
197,|Brasil|Bahia|Salvador|Barra|
198,|Brasil|Bahia|Salvador|Campo Grande|
199,|Brasil|Bahia|Salvador|Campo Grande|
200,|Brasil|Bahia|Salvador|Campo Grande|
201,|Brasil|Bahia|Salvador|Canela|
202,|Brasil|Bahia|Salvador|Canela|
203,|Brasil|Bahia|Salvador|Engenho Velho de Brotas|
204,|Brasil|Bahia|Salvador|Graça|
205,|Brasil|Bahia|Salvador|Graça|
206,|Brasil|Bahia|Salvador|Graça|
207,|Brasil|Bahia|Salvador|Graça|
208,|Brasil|Bahia|Salvador|Graça|
209,|Brasil|Bahia|Salvador|Graça|
210,|Brasil|Bahia|Salvador|Graça|
211,|Brasil|Bahia|Salvador|Imbuí|
212,|Brasil|Bahia|Salvador|Imbuí|
213,|Brasil|Bahia|Salvador|Candeal|
214,|Brasil|Bahia|Salvador|Candeal|
215,|Brasil|Bahia|Salvador|Candeal|
216,|Brasil|Bahia|Salvador|Candeal|
217,|Brasil|Bahia|Salvador|Horto Florestal|
218,|Brasil|Bahia|Salvador|Horto Florestal|
219,|Brasil|Bahia|Salvador|
220,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|
221,|Brasil|Bahia|Lauro de Freitas|Estrada do Coco|
222,|Brasil|Bahia|Lauro de Freitas|
223,|Brasil|Bahia|Lauro de Freitas|
224,|Brasil|Bahia|Salvador|
225,|Brasil|Bahia|Salvador|Alphaville I|
226,|Brasil|Bahia|Salvador|Pernambués|
227,|Brasil|Bahia|Salvador|
228,|Brasil|Bahia|Lauro de Freitas|
